"Neighbourhood","Property.Type","Room.Type","Beds","Price","Review.Scores.Rating"
"Brooklyn","Apartment","Private room",1,140,93
"Brooklyn","Apartment","Entire home/apt",2,190,84
"Brooklyn","House","Entire home/apt",3,209,100
"Brooklyn","House","Private room",2,175,NA
"Manhattan","Apartment","Entire home/apt",2,170,NA
"Manhattan","Apartment","Entire home/apt",4,550,89
"Manhattan","House","Entire home/apt",8,1000,100
"Manhattan","House","Entire home/apt",2,295,98
"Brooklyn","Lighthouse","Entire home/apt",2,39,100
